univ_id,univ_name,num_hs,dist,g12,prof_math,med_income,pct_lunch,non_white,white,black,hispanic,native,asian,other_race,charter,magnet,regular,city,suburb,town,rural,pct_hs
visit_199193,NC State,143,87,239,109,"\\$52,000",53\\%,39\\%,56\\%,24\\%,12\\%,3\\%,2\\%,3\\%,2\\%,2\\%,96\\%,13\\%,16\\%,17\\%,54\\%,28\\%
nonvisit_199193,NC State,361,103,169,76,"\\$53,000",51\\%,42\\%,53\\%,28\\%,13\\%,1\\%,2\\%,3\\%,8\\%,4\\%,88\\%,28\\%,19\\%,11\\%,41\\%,72\\%
visit_186380,Rutgers,253,31,259,105,"\\$95,000",35\\%,43\\%,47\\%,20\\%,23\\%,0\\%,10\\%,1\\%,4\\%,0\\%,96\\%,13\\%,78\\%,1\\%,8\\%,63\\%
nonvisit_186380,Rutgers,147,35,186,59,"\\$86,000",34\\%,41\\%,53\\%,18\\%,22\\%,0\\%,5\\%,1\\%,6\\%,0\\%,94\\%,8\\%,76\\%,4\\%,12\\%,37\\%
visit_196097,Stony Brook,229,35,318,303,"\\$103,000",37\\%,38\\%,49\\%,14\\%,24\\%,0\\%,12\\%,1\\%,0\\%,3\\%,96\\%,31\\%,62\\%,2\\%,5\\%,20\\%
nonvisit_196097,Stony Brook,927,144,118,103,"\\$64,000",56\\%,45\\%,50\\%,22\\%,23\\%,1\\%,4\\%,1\\%,4\\%,1\\%,94\\%,47\\%,12\\%,10\\%,31\\%,80\\%
visit_100751,Alabama,113,98,204,53,"\\$54,000",44\\%,33\\%,64\\%,27\\%,5\\%,1\\%,1\\%,1\\%,0\\%,4\\%,96\\%,19\\%,19\\%,14\\%,49\\%,33\\%
nonvisit_100751,Alabama,228,101,97,14,"\\$44,000",60\\%,39\\%,60\\%,33\\%,4\\%,1\\%,0\\%,1\\%,0\\%,3\\%,97\\%,10\\%,6\\%,13\\%,72\\%,67\\%
visit_106397,Arkansas,124,131,132,51,"\\$46,000",59\\%,25\\%,73\\%,17\\%,7\\%,1\\%,1\\%,2\\%,6\\%,1\\%,93\\%,8\\%,8\\%,33\\%,51\\%,52\\%
nonvisit_106397,Arkansas,113,137,66,20,"\\$45,000",66\\%,27\\%,71\\%,21\\%,5\\%,1\\%,1\\%,1\\%,4\\%,2\\%,94\\%,11\\%,4\\%,7\\%,78\\%,48\\%
visit_110635,UC Berkeley,244,171,446,143,"\\$86,000",51\\%,55\\%,26\\%,6\\%,48\\%,1\\%,15\\%,4\\%,7\\%,12\\%,81\\%,46\\%,47\\%,4\\%,3\\%,17\\%
nonvisit_110635,UC Berkeley,"1,160",250,272,74,"\\$67,000",58\\%,60\\%,29\\%,7\\%,52\\%,1\\%,8\\%,3\\%,31\\%,9\\%,60\\%,41\\%,36\\%,10\\%,13\\%,83\\%
visit_110653,UC Irvine,232,131,467,129,"\\$69,000",62\\%,68\\%,18\\%,9\\%,59\\%,1\\%,11\\%,3\\%,6\\%,15\\%,78\\%,44\\%,50\\%,3\\%,3\\%,17\\%
nonvisit_110653,UC Irvine,"1,172",216,269,77,"\\$71,000",56\\%,57\\%,31\\%,6\\%,50\\%,1\\%,9\\%,4\\%,31\\%,9\\%,60\\%,41\\%,36\\%,11\\%,13\\%,83\\%
visit_201885,Cincinnati,353,119,199,183,"\\$67,000",40\\%,22\\%,72\\%,18\\%,3\\%,0\\%,2\\%,4\\%,2\\%,0\\%,98\\%,18\\%,43\\%,14\\%,25\\%,43\\%
nonvisit_201885,Cincinnati,464,157,83,80,"\\$53,000",54\\%,21\\%,75\\%,17\\%,4\\%,0\\%,1\\%,3\\%,18\\%,0\\%,82\\%,22\\%,18\\%,17\\%,42\\%,57\\%
visit_126614,CU Boulder,181,61,257,91,"\\$75,000",37\\%,38\\%,56\\%,4\\%,33\\%,1\\%,3\\%,3\\%,8\\%,1\\%,91\\%,36\\%,31\\%,15\\%,18\\%,58\\%
nonvisit_126614,CU Boulder,132,108,53,16,"\\$61,000",46\\%,35\\%,62\\%,3\\%,31\\%,1\\%,1\\%,3\\%,19\\%,1\\%,80\\%,20\\%,11\\%,11\\%,59\\%,42\\%
visit_139959,Georgia,173,85,313,141,"\\$61,000",56\\%,50\\%,43\\%,40\\%,10\\%,0\\%,4\\%,3\\%,5\\%,9\\%,86\\%,16\\%,42\\%,17\\%,25\\%,41\\%
nonvisit_139959,Georgia,245,98,207,71,"\\$50,000",68\\%,52\\%,44\\%,42\\%,10\\%,0\\%,2\\%,3\\%,4\\%,8\\%,88\\%,20\\%,27\\%,16\\%,36\\%,59\\%
visit_155317,Kansas,209,118,135,36,"\\$65,000",43\\%,18\\%,77\\%,4\\%,12\\%,1\\%,2\\%,4\\%,0\\%,1\\%,99\\%,13\\%,7\\%,26\\%,54\\%,66\\%
nonvisit_155317,Kansas,108,168,31,6,"\\$57,000",48\\%,14\\%,83\\%,3\\%,10\\%,1\\%,1\\%,3\\%,1\\%,0\\%,99\\%,6\\%,1\\%,10\\%,83\\%,34\\%
visit_166629,UMass,216,61,214,179,"\\$95,000",33\\%,22\\%,70\\%,9\\%,13\\%,0\\%,5\\%,2\\%,10\\%,0\\%,90\\%,15\\%,67\\%,2\\%,16\\%,62\\%
nonvisit_166629,UMass,132,65,158,116,"\\$82,000",48\\%,34\\%,61\\%,12\\%,21\\%,0\\%,3\\%,3\\%,9\\%,0\\%,91\\%,20\\%,64\\%,4\\%,12\\%,38\\%
visit_181464,Nebraska,217,112,101,58,"\\$63,000",37\\%,14\\%,83\\%,2\\%,10\\%,2\\%,1\\%,2\\%,0\\%,0\\%,100\\%,8\\%,4\\%,17\\%,71\\%,88\\%
nonvisit_181464,Nebraska,30,149,27,14,"\\$62,000",44\\%,16\\%,82\\%,4\\%,8\\%,4\\%,1\\%,2\\%,0\\%,0\\%,100\\%,7\\%,0\\%,7\\%,87\\%,12\\%
visit_215293,Pittsburgh,185,131,288,205,"\\$79,000",32\\%,16\\%,78\\%,11\\%,4\\%,0\\%,4\\%,2\\%,2\\%,1\\%,97\\%,12\\%,66\\%,11\\%,10\\%,28\\%
nonvisit_215293,Pittsburgh,467,155,134,76,"\\$59,000",52\\%,26\\%,71\\%,18\\%,8\\%,0\\%,2\\%,2\\%,13\\%,0\\%,87\\%,23\\%,27\\%,14\\%,36\\%,72\\%
visit_218663,S.Carolina,119,65,264,226,"\\$53,000",50\\%,42\\%,54\\%,36\\%,6\\%,0\\%,1\\%,3\\%,5\\%,19\\%,76\\%,15\\%,35\\%,13\\%,37\\%,57\\%
