univ_id,univ_name,in_income_50_74_coeff,in_income_75_99_coeff,in_income_100_149_coeff,in_income_150_199_coeff,in_income_gt200_coeff,in_race_20_39_coeff,in_race_40_59_coeff,in_race_60_79_coeff,in_race_80_89_coeff,in_race_gt90_coeff,in_math_50_99_coeff,in_math_100_199_coeff,in_math_200_299_coeff,in_math_300_399_coeff,in_math_gt400_coeff,in_constant_coeff,in_observations,in_aic,in_income_50_74,in_income_75_99,in_income_100_149,in_income_150_199,in_income_gt200,in_race_20_39,in_race_40_59,in_race_60_79,in_race_80_89,in_race_gt90,in_math_50_99,in_math_100_199,in_math_200_299,in_math_300_399,in_math_gt400,in_constant
199193,NC State,-0.131,0.081,-0.145,,,-0.157,-0.064,-0.068,-0.117,-0.108,0.006,0.071,0.097,0.017,0.611,0.195,504,575.111,13\\%,8\\%,14\\%,,,16\\%,6\\%,7\\%,12\\%,11\\%,1\\%,7\\%,10\\%,2\\%,61\\%,20\\%
186380,Rutgers,-0.153,-0.140,-0.067,0.131,0.192,0.079,0.189,0.252,0.073,0.100,0.112,0.156,0.308,0.230,0.410,0.352,400,541.538,15\\%,14\\%,7\\%,13\\%,19\\%,8\\%,19\\%,25\\%,7\\%,10\\%,11\\%,16\\%,31\\%,23\\%,41\\%,35\\%
196097,Stony Brook,-0.025,-0.023,0.112,0.347,-0.009,0.165,0.143,0.063,-0.009,-0.116,0.043,0.134,0.182,0.357,0.599,0.423,"1,156",309.406,2\\%,2\\%,11\\%,35\\%,1\\%,16\\%,14\\%,6\\%,1\\%,12\\%,4\\%,13\\%,18\\%,36\\%,60\\%,42\\%
100751,Alabama,-0.043,0.016,,,,-0.046,-0.089,0.078,0.051,-0.241,0.093,0.382,0.243,,,0.314,341,364.784,4\\%,2\\%,,,,5\\%,9\\%,8\\%,5\\%,24\\%,9\\%,38\\%,24\\%,,,31\\%
106397,Arkansas,0.038,0.144,,,,-0.157,-0.123,-0.041,-0.320,-0.136,0.222,-0.004,0.354,0.126,0.367,0.336,237,328.378,4\\%,14\\%,,,,16\\%,12\\%,4\\%,32\\%,14\\%,22\\%,0\\%,35\\%,13\\%,37\\%,34\\%
110635,UC Berkeley,0.079,0.114,0.097,0.352,-0.099,0.005,0.069,0.046,0.069,0.166,0.006,0.081,0.129,0.049,0.109,0.092,"1,404",994.316,8\\%,11\\%,10\\%,35\\%,10\\%,0\\%,7\\%,5\\%,7\\%,17\\%,1\\%,8\\%,13\\%,5\\%,11\\%,9\\%
110653,UC Irvine,-0.056,-0.059,-0.092,-0.251,-0.292,0.020,0.087,0.118,0.124,0.192,0.045,0.037,0.125,0.172,0.231,0.062,"1,404","1,033.760",6\\%,6\\%,9\\%,25\\%,29\\%,2\\%,9\\%,12\\%,12\\%,19\\%,4\\%,4\\%,12\\%,17\\%,23\\%,6\\%
201885,Cincinnati,0.090,0.319,0.419,,,0.089,0.054,0.016,0.035,0.244,0.106,0.066,-0.024,-0.060,-0.099,0.343,817,798.974,9\\%,32\\%,42\\%,,,9\\%,5\\%,2\\%,4\\%,24\\%,11\\%,7\\%,2\\%,6\\%,10\\%,34\\%
126614,CU Boulder,0.147,0.164,0.129,,,-0.021,0.051,-0.032,0.130,-0.054,0.118,0.153,0.097,0.093,0.088,0.183,313,252.223,15\\%,16\\%,13\\%,,,2\\%,5\\%,3\\%,13\\%,5\\%,12\\%,15\\%,10\\%,9\\%,9\\%,18\\%
139959,Georgia,-0.058,-0.010,0.096,0.431,,0.045,0.062,0.132,-0.070,0.250,0.153,0.278,0.319,0.489,0.352,-0.067,418,563.412,6\\%,1\\%,10\\%,43\\%,,4\\%,6\\%,13\\%,7\\%,25\\%,15\\%,28\\%,32\\%,49\\%,35\\%,7\\%
155317,Kansas,0.079,0.254,0.264,,,0.016,-0.009,-0.003,0.132,,-0.068,-0.179,-0.236,,,0.349,317,373.616,8\\%,25\\%,26\\%,,,2\\%,1\\%,0\\%,13\\%,,7\\%,18\\%,24\\%,,,35\\%
166629,UMass,0.181,0.114,0.206,0.288,-0.625,0.024,0.033,0.053,-0.088,-0.172,0.171,0.317,0.335,0.528,0.618,0.227,348,475.712,18\\%,11\\%,21\\%,29\\%,62\\%,2\\%,3\\%,5\\%,9\\%,17\\%,17\\%,32\\%,34\\%,53\\%,62\\%,23\\%
181464,Nebraska,-0.020,-0.115,-0.049,,,0.052,-0.172,-0.136,-0.272,-0.217,0.064,0.001,0.001,-0.096,-0.135,0.657,247,166.755,2\\%,12\\%,5\\%,,,5\\%,17\\%,14\\%,27\\%,22\\%,6\\%,0\\%,0\\%,10\\%,14\\%,66\\%
215293,Pittsburgh,0.007,0.203,0.323,0.422,,0.034,-0.043,-0.179,-0.107,0.003,0.006,0.213,0.369,0.487,0.548,0.276,652,480.002,1\\%,20\\%,32\\%,42\\%,,3\\%,4\\%,18\\%,11\\%,0\\%,1\\%,21\\%,37\\%,49\\%,55\\%,28\\%
218663,S.Carolina,0.019,0.177,0.270,,,0.227,-0.002,-0.012,0.230,-0.102,-0.150,-0.340,-0.395,-0.522,-0.849,0.282,209,250.649,2\\%,18\\%,27\\%,,,23\\%,0\\%,1\\%,23\\%,10\\%,15\\%,34\\%,40\\%,52\\%,85\\%,28\\%
