univ_id,univ_name,num_hs,dist,g12,med_income,pct_lunch,non_white,white,black,hispanic,native,asian,other_race,charter,magnet,regular,city,suburb,town,rural
visit_199193,NC State,69,342,410,"\\$122,000",20\\%,28\\%,59\\%,15\\%,13\\%,0\\%,10\\%,3\\%,0\\%,7\\%,93\\%,14\\%,67\\%,3\\%,16\\%
nonvisit_199193,NC State,"5,186",437,201,"\\$67,000",49\\%,37\\%,57\\%,22\\%,15\\%,0\\%,3\\%,2\\%,7\\%,6\\%,87\\%,26\\%,35\\%,11\\%,27\\%
visit_186380,Rutgers,439,699,427,"\\$113,000",24\\%,27\\%,56\\%,10\\%,17\\%,0\\%,14\\%,3\\%,2\\%,8\\%,91\\%,29\\%,64\\%,1\\%,7\\%
nonvisit_186380,Rutgers,"6,641","1,004",214,"\\$66,000",52\\%,46\\%,48\\%,15\\%,30\\%,1\\%,4\\%,2\\%,11\\%,8\\%,81\\%,31\\%,31\\%,11\\%,28\\%
visit_196097,Stony Brook,385,197,329,"\\$111,000",23\\%,24\\%,64\\%,12\\%,12\\%,0\\%,9\\%,2\\%,2\\%,8\\%,90\\%,14\\%,74\\%,1\\%,11\\%
nonvisit_196097,Stony Brook,"3,601",507,217,"\\$67,000",48\\%,36\\%,58\\%,22\\%,15\\%,0\\%,3\\%,2\\%,7\\%,9\\%,85\\%,21\\%,40\\%,12\\%,28\\%
visit_100751,Alabama,"1,658",823,384,"\\$90,000",30\\%,30\\%,60\\%,14\\%,16\\%,0\\%,7\\%,3\\%,3\\%,9\\%,88\\%,24\\%,58\\%,4\\%,14\\%
nonvisit_100751,Alabama,"13,308",837,170,"\\$60,000",52\\%,38\\%,57\\%,16\\%,21\\%,1\\%,3\\%,2\\%,11\\%,5\\%,84\\%,25\\%,24\\%,15\\%,37\\%
visit_106397,Arkansas,325,407,425,"\\$87,000",31\\%,32\\%,58\\%,11\\%,19\\%,2\\%,6\\%,4\\%,4\\%,5\\%,91\\%,30\\%,48\\%,7\\%,14\\%
nonvisit_106397,Arkansas,"6,305",630,186,"\\$59,000",56\\%,44\\%,50\\%,16\\%,26\\%,2\\%,3\\%,2\\%,10\\%,5\\%,85\\%,24\\%,20\\%,15\\%,41\\%
visit_110635,UC Berkeley,178,"1,933",459,"\\$104,000",23\\%,30\\%,52\\%,15\\%,15\\%,0\\%,14\\%,4\\%,6\\%,18\\%,76\\%,45\\%,48\\%,2\\%,5\\%
nonvisit_110635,UC Berkeley,"10,893","1,917",183,"\\$62,000",49\\%,37\\%,58\\%,18\\%,18\\%,1\\%,3\\%,2\\%,8\\%,6\\%,86\\%,24\\%,26\\%,14\\%,36\\%
visit_110653,UC Irvine,70,"1,196",464,"\\$93,000",29\\%,30\\%,44\\%,8\\%,21\\%,0\\%,17\\%,9\\%,3\\%,14\\%,83\\%,50\\%,40\\%,3\\%,7\\%
nonvisit_110653,UC Irvine,"7,525","1,805",191,"\\$66,000",47\\%,36\\%,58\\%,16\\%,18\\%,2\\%,3\\%,3\\%,10\\%,6\\%,85\\%,25\\%,32\\%,13\\%,30\\%
visit_201885,Cincinnati,395,394,426,"\\$101,000",29\\%,29\\%,57\\%,15\\%,14\\%,0\\%,11\\%,3\\%,3\\%,11\\%,86\\%,25\\%,63\\%,3\\%,9\\%
nonvisit_201885,Cincinnati,"8,530",722,200,"\\$64,000",51\\%,41\\%,53\\%,17\\%,23\\%,1\\%,4\\%,2\\%,10\\%,6\\%,85\\%,28\\%,27\\%,13\\%,32\\%
visit_126614,CU Boulder,559,"1,147",430,"\\$115,000",20\\%,26\\%,59\\%,7\\%,18\\%,0\\%,12\\%,3\\%,3\\%,9\\%,88\\%,32\\%,61\\%,1\\%,5\\%
nonvisit_126614,CU Boulder,"12,836","1,115",187,"\\$63,000",50\\%,38\\%,56\\%,15\\%,21\\%,1\\%,3\\%,3\\%,11\\%,5\\%,84\\%,25\\%,27\\%,14\\%,34\\%
visit_139959,Georgia,243,910,495,"\\$102,000",23\\%,30\\%,56\\%,10\\%,19\\%,0\\%,11\\%,3\\%,5\\%,12\\%,84\\%,40\\%,53\\%,0\\%,7\\%
nonvisit_139959,Georgia,"9,759",843,200,"\\$62,000",50\\%,42\\%,53\\%,16\\%,23\\%,2\\%,3\\%,3\\%,12\\%,6\\%,82\\%,25\\%,29\\%,13\\%,33\\%
visit_155317,Kansas,337,497,469,"\\$96,000",26\\%,26\\%,62\\%,11\\%,15\\%,1\\%,8\\%,3\\%,3\\%,4\\%,93\\%,34\\%,57\\%,2\\%,7\\%
nonvisit_155317,Kansas,"9,110",745,175,"\\$64,000",49\\%,39\\%,55\\%,13\\%,24\\%,2\\%,4\\%,2\\%,11\\%,3\\%,86\\%,25\\%,23\\%,14\\%,37\\%
visit_166629,UMass,463,694,384,"\\$115,000",21\\%,24\\%,62\\%,8\\%,15\\%,0\\%,12\\%,2\\%,2\\%,9\\%,89\\%,23\\%,67\\%,2\\%,8\\%
nonvisit_166629,UMass,"9,163","1,091",207,"\\$64,000",52\\%,43\\%,51\\%,18\\%,24\\%,1\\%,4\\%,2\\%,10\\%,7\\%,84\\%,28\\%,28\\%,13\\%,31\\%
visit_181464,Nebraska,419,374,392,"\\$85,000",31\\%,27\\%,64\\%,10\\%,16\\%,1\\%,6\\%,3\\%,2\\%,3\\%,95\\%,31\\%,46\\%,10\\%,14\\%
nonvisit_181464,Nebraska,"6,004",548,144,"\\$61,000",47\\%,29\\%,67\\%,12\\%,16\\%,1\\%,2\\%,2\\%,7\\%,4\\%,89\\%,18\\%,17\\%,17\\%,48\\%
