univ_id,univ_name,out_income_50_74_coeff,out_income_75_99_coeff,out_income_100_149_coeff,out_income_150_199_coeff,out_income_gt200_coeff,out_race_20_39_coeff,out_race_40_59_coeff,out_race_60_79_coeff,out_race_80_89_coeff,out_race_gt90_coeff,out_g12_50_99_coeff,out_g12_100_199_coeff,out_g12_200_299_coeff,out_g12_300_399_coeff,out_g12_400_499_coeff,out_g12gt_500_coeff,out_constant_coeff,out_observations,out_aic,out_income_50_74,out_income_75_99,out_income_100_149,out_income_150_199,out_income_gt200,out_race_20_39,out_race_40_59,out_race_60_79,out_race_80_89,out_race_gt90,out_g12_50_99,out_g12_100_199,out_g12_200_299,out_g12_300_399,out_g12_400_499,out_g12gt_500,out_constant
199193,NC State,-0.001,0.005,0.047,0.166,0.104,0.002,-0.012,0.007,0.005,-0.0004,-0.003,-0.001,-0.012,0.010,0.008,0.016,0.020,"5,255","-8,194.420",0\\%,0\\%,5\\%,17\\%,10\\%,0\\%,1\\%,1\\%,0\\%,0\\%,0\\%,0\\%,1\\%,1\\%,1\\%,2\\%,2\\%
186380,Rutgers,-0.011,0.019,0.173,0.393,0.398,0.001,-0.038,-0.048,-0.070,-0.075,-0.001,-0.001,0.030,0.080,0.086,0.125,0.059,"7,080","-1,519.028",1\\%,2\\%,17\\%,39\\%,40\\%,0\\%,4\\%,5\\%,7\\%,8\\%,0\\%,0\\%,3\\%,8\\%,9\\%,12\\%,6\\%
196097,Stony Brook,-0.020,0.016,0.185,0.433,0.482,-0.010,-0.028,-0.054,-0.078,-0.087,0.014,0.016,0.065,0.085,0.138,0.125,0.136,"4,020",795.540,2\\%,2\\%,18\\%,43\\%,48\\%,1\\%,3\\%,5\\%,8\\%,9\\%,1\\%,2\\%,6\\%,8\\%,14\\%,12\\%,14\\%
100751,Alabama,0.004,0.081,0.207,0.415,0.481,0.030,-0.011,-0.047,-0.042,-0.073,0.006,0.015,0.075,0.162,0.198,0.201,0.073,"14,966","4,098.966",0\\%,8\\%,21\\%,42\\%,48\\%,3\\%,1\\%,5\\%,4\\%,7\\%,1\\%,2\\%,8\\%,16\\%,20\\%,20\\%,7\\%
106397,Arkansas,0.002,0.044,0.184,0.066,0.398,0.026,-0.00004,-0.007,-0.022,-0.026,0.014,0.032,0.043,0.078,0.105,0.124,0.080,"6,630","-2,687.272",0\\%,4\\%,18\\%,7\\%,40\\%,3\\%,0\\%,1\\%,2\\%,3\\%,1\\%,3\\%,4\\%,8\\%,10\\%,12\\%,8\\%
110635,UC Berkeley,-0.003,0.006,0.060,0.193,0.241,-0.002,-0.015,-0.013,-0.021,-0.027,0.001,-0.0004,0.001,0.013,0.040,0.059,0.009,"11,071","-15,443.180",0\\%,1\\%,6\\%,19\\%,24\\%,0\\%,2\\%,1\\%,2\\%,3\\%,0\\%,0\\%,0\\%,1\\%,4\\%,6\\%,1\\%
110653,UC Irvine,-0.001,0.006,0.042,0.033,0.005,-0.004,0.002,-0.004,-0.011,-0.011,0.006,0.009,0.018,0.031,0.031,0.075,0.011,"7,595","-14,152.570",0\\%,1\\%,4\\%,3\\%,0\\%,0\\%,0\\%,0\\%,1\\%,1\\%,1\\%,1\\%,2\\%,3\\%,3\\%,8\\%,1\\%
201885,Cincinnati,0.001,0.030,0.115,0.276,0.248,0.012,0.012,-0.0004,-0.007,-0.012,0.001,0.006,0.024,0.063,0.135,0.149,0.053,"9,118","-4,444.550",0\\%,3\\%,12\\%,28\\%,25\\%,1\\%,1\\%,0\\%,1\\%,1\\%,0\\%,1\\%,2\\%,6\\%,14\\%,15\\%,5\\%
126614,CU Boulder,-0.008,0.024,0.170,0.501,0.766,0.007,-0.015,-0.036,-0.052,-0.051,0.004,-0.001,0.012,0.042,0.071,0.128,0.048,"13,395","-8,207.670",1\\%,2\\%,17\\%,50\\%,77\\%,1\\%,2\\%,4\\%,5\\%,5\\%,0\\%,0\\%,1\\%,4\\%,7\\%,13\\%,5\\%
139959,Georgia,-0.004,0.008,0.068,0.168,0.362,0.003,-0.011,-0.027,-0.035,-0.036,-0.001,-0.002,-0.007,0.014,0.046,0.094,0.008,"9,582","-9,137.670",0\\%,1\\%,7\\%,17\\%,36\\%,0\\%,1\\%,3\\%,4\\%,4\\%,0\\%,0\\%,1\\%,1\\%,5\\%,9\\%,1\\%
